Word,Count
minulla,0
tämä,0
minä,0
jussi,0
onko,0
tänään,0
missä,0
koira,0
paljon,0
mutta,0
emmi,0
language,0
menee,0
kuin,0
saisinko,0
kahvia,0
liisa,0
time,0
tulee,0
hyvä,0
pidän,0
tämän,0
ruokaa,0
pginil,0
house,0
yksi,0
tässä,0
kiitos,0
vähän,0
ovat,0
mitä,0
hänen,0
kylmä,0
nälkä,0
hisherits,0
what,0
puhekieli,0
seitsemän,0
huomenna,0
äiti,0
että,0
sitten,0
käänny,0
kolme,0
olet,0
lisää,0
sinä,0
partitive,0
hänellä,0
good,0
kuinka,0
olen,0
kirja,0
todella,0
tulen,0
tästä,0
laita,0
myös,0
joka,0
kaksi,0
kyllä,0
ottaa,0
hyvää,0
olla,0
sinulla,0
person,0
which,0
play,0
yhdeksän,0
pitkä,0
lautanen,0
ihmisiä,0
mistä,0
viisi,0
minun,0
herkullista,0
hyvin,0
sataa,0
lunta,0
jonkin,0
mitään,0
minulle,0
hiukset,0
neljä,0
miten,0
adjective,0
kymmenen,0
kirjan,0
mies,0
maitoa,0
pöydälle,0
sininen,0
kirjaa,0
lähellä,0
pöydällä,0
istuu,0
pitää,0
aina,0
nainen,0
soittaa,0
pekka,0
vielä,0
otan,0
tuota,0
sinulle,0
pidä,0
kitaraa,0
tiedä,0
päällä,0
niin,0
sopii,0
koiria,0
kahdeksan,0
laittaa,0
vieressä,0
finnish,0
over,0
watch,0
have,0
vasemmalle,0
päin,0
pöydältä,0
lähtee,0
mennä,0
mustikkapiirakkaa,0
totta,0
tänä,0
vain,0
tehdä,0
salaattia,0
päivä,0
enemmän,0
päivää,0
sinun,0
tyttö,0
sateenvarjo,0
entä,0
eilen,0
tuon,0
helen,0
kuuma,0
siellä,0
täällä,0
siniset,0
kirjastossa,0
pois,0
väri,0
kaukosäädin,0
iltana,0
verran,0
sama,0
käyttää,0
emmillä,0
kello,0
ikkunan,0
ylös,0
päälle,0
televisiota,0
edessä,0
keskellä,0
kaapin,0
sirpa,0
meet,0
sweet,0
room,0
right,0
determiner,0
relative,0
some,0
place,0
like,0
käydä,0
katsella,0
aloitan,0
uuden,0
omenaa,0
maito,0
kylmää,0
kaatui,0
talon,0
haluan,0
lukee,0
luen,0
anteeksi,0
oikealle,0
suomessa,0
koskaan,0
kaappiin,0
ihan,0
kilometriä,0
pihalle,0
vihreää,0
teen,0
aloittaa,0
tiedän,0
kahvista,0
täynnä,0
kissa,0
ainakin,0
väsynyt,0
tule,0
unohda,0
tuntikausia,0
antoi,0
puhelin,0
unohtaa,0
takki,0
antaa,0
mielelläni,0
soitan,0
pianoa,0
harrastaa,0
hetki,0
katson,0
tarvitse,0
kaipaa,0
sateenvarjon,0
ulos,0
pian,0
eipä,0
kestä,0
suomen,0
mukaan,0
kouluun,0
voit,0
vettä,0
kaataa,0
kanssa,0
voisitko,0
menen,0
eläimiä,0
akvaariokaloja,0
vanha,0
yhtään,0
näköinen,0
punaiset,0
kuusi,0
kynttilää,0
itsenäisyyspäivä,0
tulitikut,0
tippuu,0
pipo,0
lumi,0
päästä,0
sisällä,0
poika,0
lähettää,0
vihreä,0
katso,0
pehmeä,0
voin,0
kotiin,0
leluja,0
keittiö,0
takana,0
minnin,0
pöydän,0
lähin,0
järjestää,0
inessive,0
nice,0
quiet,0
rock,0
estonian,0
russian,0
where,0
they,0
here,0
home,0
clock,0
know,0
live,0
think,0
pasty,0
game,0
call,0
instument,0
make,0
yhdeksänkymmentäyhdeksän,0
numero,0
astetta,0
tuntia,0
paikka,0
kiireinen,0
tiinalla,0
uusi,0
onnea,0
valmis,0
rahaa,0
jalkapalloa,0
maalari,0
maalasi,0
oletko,0
nähnyt,0
tiinaa,0
työn,0
sain,0
paikan,0
muki,0
täydellinen,0
sinne,0
matka,0
näkyy,0
puistoon,0
kaapissa,0
kaapista,0
puistossa,0
mielellään,0
kalan,0
heitti,0
takaisin,0
seuraavasta,0
suoraan,0
täältä,0
torilta,0
torille,0
kiven,0
otatko,0
teetä,0
mustaa,0
täytyy,0
saada,0
päivän,0
melko,0
nauttii,0
voitko,0
juon,0
viikolla,0
musta,0
hiukan,0
tätä,0
lasia,0
suomalaista,0
päärynää,0
suomalaiset,0
pulloa,0
aamu,0
ehkä,0
joten,0
jälkeen,0
puhun,0
sinäkö,0
odota,0
takin,0
anna,0
odottaa,0
odotan,0
maiju,0
tulet,0
lämmin,0
junaa,0
lämmintä,0
emmille,0
pelaan,0
sählyä,0
vieläkö,0
luet,0
luin,0
sähly,0
ostan,0
ensi,0
tiedätkö,0
tarkoittaa,0
altaassa,0
nimi,0
monet,0
pelaa,0
hauska,0
aamulla,0
osaan,0
genitive,0
millainen,0
sada,0
sadetta,0
sade,0
alkaa,0
ennuste,0
näyttää,0
perhe,0
katsoo,0
mene,0
syksyllä,0
keittiössä,0
siinä,0
ollut,0
koska,0
keittiötä,0
sinisen,0
tuletko,0
elokuviin,0
elokuvassa,0
elokuvan,0
samalla,0
kirjastosta,0
loistava,0
ajatus,0
syödä,0
haenko,0
käyn,0
uunista,0
kaada,0
vesi,0
jääkaapista,0
yläkerrasta,0
salaatti,0
kakun,0
nähdään,0
kaupassa,0
takista,0
puuttuu,0
romantiikasta,0
toiminnasta,0
pidätkö,0
lähden,0
mustasta,0
hotelli,0
joku,0
elokuvasta,0
kaikki,0
valmista,0
tuolilla,0
mikä,0
television,0
sohvalla,0
haluaisin,0
karkkia,0
kaiken,0
silmät,0
tuleeko,0
bussilla,0
siskolla,0
isoisällä,0
millaisia,0
suloisia,0
pojalla,0
mukavat,0
ruskeat,0
silmä,0
jota,0
yhdessä,0
päivässä,0
omena,0
suurempi,0
punainen,0
liisalla,0
isällä,0
kylmät,0
ryhmä,0
kortti,0
elokuva,0
kauan,0
neljästä,0
koiraa,0
tullut,0
viikossa,0
miksi,0
ikkunalla,0
tarkoitat,0
kynttilä,0
ikkuna,0
itsenäisyyspäivän,0
ikkunalle,0
sytytetään,0
ikkunaa,0
lelu,0
nouse,0
joulukortin,0
oikeasti,0
palaa,0
lautasen,0
ystävälle,0
kohta,0
emmin,0
hauskaa,0
tylsä,0
meillä,0
yleensä,0
koiralla,0
helenille,0
samanlainen,0
tuntuu,0
paketin,0
äidiltä,0
talo,0
lainaa,0
lupa,0
kortin,0
avain,0
edestä,0
eteen,0
pöytä,0
oven,0
yläpuolella,0
ulkopuolella,0
tiina,0
maljakon,0
pilvi,0
auringon,0
hanna,0
puhelimesi,0
jäätelöä,0
nopeasti,0
autoni,0
autonsa,0
huollossa,0
äitini,0
joogaa,0
siivoaa,0
työpöytänsä,0
kokouksen,0
paperit,0
pöydällensä,0
opettaja,0
pojalleni,0
huonon,0
arvosanan,0
vaimonsa,0
sateenvarjonsa,0
nähdä,0
työntekijä,0
insinööri,0
lääkäri,0
thank,0
luck,0
finn,0
with,0
sisu,0
silent,0
singular,0
wrong,0
northern,0
icelandic,0
norwegian,0
danish,0
happy,0
stand,0
fast,0
spanish,0
salad,0
lettuce,0
there,0
still,0
pretty,0
mämmi,0
bottle,0
taste,0
orange,0
color,0
much,0
talk,0
little,0
that,0
adjectiveperson,0
people,0
spoken,0
glögi,0
drink,0
piece,0
another,0
other,0
search,0
rise,0
arise,0
smell,0
question,0
cluck,0
tweet,0
visit,0
spend,0
many,0
whom,0
dish,0
exactly,0
bright,0
white,0
couple,0
peace,0
needs,0
restroom,0
toilet,0
study,0
educational,0
institution,0
listen,0
hence,0
therefore,0
knit,0
full,0
locate,0
located,0
shine,0
soccer,0
football,0
venäjä,0
etsiä,0
viettää,0
katsoa,0
lintuja,0
bring,0
pick,0
enjoy,0
down,0
nolla,0
tunti,0
asiaa,0
tuhat,0
sivua,0
maksaa,0
kaksituhatta,0
dollaria,0
neljätuhattaneljäsataaneljäkymmentä,0
japanin,0
jeniä,0
dollareissa,0
minuuttia,0
yhtäkuin,0
kahdeksantuhatta,0
yhdeksäntuhattaviisisataa,0
sarjaa,0
varmasti,0
oikea,0
ohjelmoija,0
käytti,0
tietokonetta,0
kampaus,0
etsin,0
uutta,0
työtä,0
mielenkiintoinen,0
raha,0
heti,0
maija,0
pojat,0
pelaavat,0
taloa,0
mielenkiintoista,0
tiinan,0
hame,0
kaatoi,0
maitolasin,0
punaiseksi,0
vapaa,0
hyvän,0
äidin,0
isompi,0
isomman,0
mukin,0
myöhässä,0
kääntykää,0
ensin,0
seuraava,0
bussi,0
meille,0
vilkas,0
risteys,0
ajamme,0
oikealla,0
puolella,0
suora,0
taivaalla,0
tähtiä,0
saapuu,0
talossa,0
talosta,0
taloon,0
puistosta,0
järvessä,0
onki,0
järvestä,0
ison,0
järveen,0
nelosen,0
raitiovaunu,0
minne,0
kulmasta,0
liikennevaloista,0
keskustaan,0
pohjoiseen,0
länteen,0
punkaharju,0
itään,0
lönnrotinkatu,0
pihalla,0
pihalta,0
torilla,0
rannalla,0
otti,0
rannalta,0
rannalle,0
millä,0
kadulla,0
teatteri,0
miltä,0
laiturilta,0
juna,0
mille,0
bussipysäkille,0
ruokakaupan,0
kohdalta,0
mannerheimintieltä,0
arkadiankadulle,0
risteyksestä,0
vasemmalta,0
puisto,0
lönnrotinkadulla,0
näkyä,0
sitä,0
keitto,0
unelias,0
raportti,0
valmiiksi,0
yönä,0
kupillisella,0
päivääni,0
ilman,0
join,0
tekee,0
keittoa,0
mustikkaa,0
viedään,0
terveellisyytensä,0
vuoksi,0
moniin,0
maihin,0
muun,0
muassa,0
aasiaan,0
ruoho,0
haluaa,0
suklaakakku,0
pizzaa,0
asianajajalleni,0
laiha,0
mustana,0
kahvipannu,0
liikaa,0
menin,0
hammaslääkärille,0
viime,0
etsii,0
hiirtä,0
mustikkahilloa,0
töitä,0
aamuisin,0
varo,0
sinistä,0
maistaa,0
ihanaa,0
tuoksuvaa,0
kotitekoista,0
päärynä,0
päärynät,0
pienempiä,0
ulkomaiset,0
mukaani,0
pillerinsä,0
ennen,0
aamiaista,0
juodaan,0
missään,0
muualla,0
useimpien,0
omakotitalojen,0
pihassa,0
omenapuu,0
usean,0
lihan,0
syömisen,0
osasi,0
ajatella,0
ainoastaan,0
erityisesti,0
graavilohesta,0
tarvitset,0
suolaa,0
suolaako,0
puen,0
puhelinta,0
laskuasi,0
pari,0
vihaan,0
odottamistasi,0
sinua,0
annettu,0
ansaittu,0
palkkio,0
kolikoita,0
puhelimella,0
ippuhelin,0
toimi,0
vyönsä,0
ettet,0
halua,0
juhliin,0
odottamisesta,0
jouduin,0
odottamaan,0
seuraavaa,0
matkustaja,0
odotti,0
päällesi,0
jotain,0
langaton,0
taas,0
puhelimessa,0
yhden,0
perunan,0
unohdan,0
lasini,0
päänsärkyä,0
postia,0
tulevaksi,0
tulisin,0
uudelleen,0
mahdollista,0
kohti,0
videokameraa,0
tänne,0
soita,0
melkein,0
valmiina,0
harrastat,0
kuusikielinen,0
kitara,0
vuonna,0
kitaran,0
soitatko,0
oppikirja,0
“salibandy”,0
uida,0
lähettäjän,0
paketissa,0
pahoillani,0
osaa,0
lukea,0
nimeäsi,0
soitat,0
oikein,0
rockmuusikot,0
soittavat,0
jääkiekkoa,0
elektroninen,0
vauhdikas,0
laji,0
kilometrin,0
lauantai,0
lehden,0
tennistä,0
pianon,0
osta,0
finlandiaa,0
finlandian,0
lopetan,0
jalkapallon,0
ennustetta,0
tarvitsenko,0
sateenvarjoa,0
paraati,0
säätiedote,0
kauhea,0
harmi,0
putoaa,0
kadulle,0
eilisen,0
sanoi,0
saatamme,0
viikonloppuna,0
neuvoja,0
siltä,0
sateenvarjoasi,0
millaista,0
koulua,0
tavattoman,0
kesäpäivä,0
hyvästä,0
säästä,0
iltapäivällä,0
muuttuu,0
onneksi,0
elokuvaa,0
satoi,0
lyhyen,0
ajanjakson,0
aikana,0
lupaa,0
tarpeellinen,0
millaisesta,0
musiikista,0
pidät,0
helsingissä,0
puhu,0
puolaa,0
etkö,0
maijan,0
serkun,0
nimeä,0
eikö,0
isän,0
aurinkoista,0
mukini,0
kuivauskaapissa,0
siinähän,0
astiankuivauskaappi,0
tietää,0
siitä,0
vaivaa,0
kuivauskaappi,0
lempivärinsä,0
suurimman,0
osan,0
ajasta,0
vaatteet,0
keittiökoneet,0
hyllyköt,0
siistiä,0
tietänyt,0
ravintolan,0
pitkään,0
nimeään,0
asut,0
aurinko,0
laskee,0
meren,0
taakse,0
huomisiltana,0
johtaja,0
siistii,0
siivosin,0
keittiön,0
kokki,0
laittoi,0
emme,0
luultavasti,0
tietämään,0
tavan,0
alkuperää,0
kuka,0
presidentti,0
uudessa,0
woody,0
allen,0
katsoisin,0
peter,0
franzén,0
menet,0
veisitkö,0
